                Frequency of line execution                 
49,199
51,199
52,199
53,199
54,199
55,199
57,132
59,132
62,214
64,214
67,107
73,107
74,107
76,61
80,46
82,107
85,107
91,107
92,107
94,61
98,46
100,107
103,213
105,213
108,180
110,180
113,199
119,199
120,199
121,199
123,199
125,199
127,107
128,107
129,107
133,0
134,107
135,14
136,93
137,16
139,77
142,199
145,200
149,200
151,1
152,1
153,1
154,1
155,1
156,1
158,199
159,199
160,199
161,199
162,199
163,199
164,199
165,199
166,199
167,199
168,199
169,199
170,199
172,199
173,199
